"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54"
"009 我化身为跨海大桥","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c009","一天，土石流从山上倾泄而下，而山下的人们全在睡梦之中，只一刹那之间，一个村庄全部被埋在土石流之下，全村的人，便化为孤魂。","几千名孤魂，根本就不知怎么死的？在一呼一吸之间，便全部丧失身命。","千名孤魂在山野里游荡。","有的寻找自己的伴侣。","有的寻找自己的小孩儿。","有的寻找自己的珍宝。","有的寻找自己的钱财。","祂们化为点点荧光，在黑暗的大地上，一闪一闪的飘泊着，不知何去何从？","这如同《修心七支论》的前行：","人身难得。","死殁无常。","深信因果。","轮回过患。","一大群冥吏出现了，冥吏驱赶这群土石流死亡的孤魂，进入黑暗的地狱，接受一次又一次的轮回之苦。","这一切，我全看到了。","","●","","我在一刹那之中，生起了慈悲心。","我想起，我若是那些孤魂的其中之一，我如何避免痛苦呢？我如何得到安乐呢？","眼见他人死。","心中热如火。","不是热他人。","快快轮到我。","这就是“自他平等互换”。我愿一切众生离苦得乐，我愿一切众生离于爱、恶、亲、疏之平等舍。","我想到：","“《入菩萨行论》有言：有情与诸佛，同能生佛法，如是敬诸佛，何不敬有情？”","于是：","我的身子起了大变化：","我的双手攀住西方乐土。","我的双脚踏在那个村庄。","我的身子变成了一条跨海的大桥，全身光灿灿的天桥啊！","那是黑暗大地的唯一光亮。","几千名孤魂从我横卧的清净光明大桥，聚集走向了西方极乐世界。","而冥吏，在桥下呐喊！","我的光让冥吏无法目视。","我以如来的大神通力，救度千名的苦难众生，往生到清净佛国。","那最后一名的女子叫：","“陈春娇”。","而我在媒体的死亡名单中，找到了她的名字。","","这是无上殊胜的感应。","我觉得这样的度化众生是最大的快乐。","《入菩萨行论》云：","世间尽所有安乐，皆从安乐他心生。","世间尽所有痛苦，皆出自身安乐欲。","何须更作多赘述，凡夫愚昧为自利。","能仁唯作利他人，此二所行之差别。","自受安乐他苦痛，若不清净相换者。","不能得证圆觉果，不离轮回亦无乐。","那","我现在终于明白了，在我生存于人间时，我的天命是“利益众生”、“帮助众生”、“救度众生”，让众生离苦得乐。","我化为跨海大桥，真实不虚。","",""
"010 六千万吨的雨水","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c010","一年，某国又干旱了，春雷未响，春雨未下，水库的水干枯了。又成了沙洲龟裂。","分区限水开始了。","我请：","莲宁上师。","莲杰上师。","莲哲上师。","三位上师修“孔雀明王”祈雨法，观想“孔雀明王”赐下甘露于甘露瓶中，持孔雀明王咒语真言，持“祈雨咒”：","“嗡。摩玉利。吉拉帝。淅沥淅沥。梭哈。”","最后用“孔雀羽”撒甘露于某国。","","●","","我自己呢！由莲香上师、莲店上师、莉莉法师、莲真讲师、吴淑美、徐雅琪，及四位家妹等人，一起去澎湖。去澎湖有二个目的：","一、祭祖—我祖父卢昌，是澎湖西屿小池角人，有卢家祠堂。","二、去祭四海龙王。","我先到“天后宫”，妈祖娘娘天上圣母庙，祂那里没有奉祭四海龙王。","我又到通梁“王爷庙”，是康府王爷，也见不到四海龙王。","我请“莲店上师”查电脑，电脑显示，只有中国大陆湄州天上圣母庙有四海龙王。","最后我们到了风景区，有名的“澎湖观音亭”，观音亭面向大海，有彩虹大桥。","我进入观音亭，在右手厢房，赫然发现了四海龙王。","我上香。","可惜四海龙王都不在。","我又给观世音菩萨烧香。","我问：","“四海龙王，为何不在？”","菩萨答：","“云游去了！”","我问：","“何时归？”","菩萨语带玄机：","“出了寺门，唤你的即是。”","","●","","我从观音亭出来，看见架在海上的“彩虹桥”时，耳朵真的有人呼唤我：","“法师，我没有饭吃。”","我看他是一名乞丐，再看，是真的龙王化身。","我说：","“我身上有六千元，全给你。”","他答：","“心领了。我知道你找我的目的。你给我六千元，我就给你三天六千万吨的雨水。”","我心急：","“可以更多吗？”（我为众生请命）","他答：","“天数。”","（我与乞丐的对话，全用心灵语言，嘴皮动一动而已，传音入密。）","","●","","想不到的事情发生了！","那","我回台中，在“好小子”饮食店吃晚饭，下雨了！雨势相当大。","（是五月来第一次下雨。）","三天后电视报导：","“梅雨季节来临，全国水库，三天来，进水量，六千万吨。”"
"011 断人生？断人死？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c011","能断人生，我能断人死，你信不信？","我举例说明：","我的媳妇卢珊珊，要生孙女，请我挑个日子，我屈指神算，挑出：","“九月十一日”。","儿子卢佛奇，媳妇卢珊珊，均摇头说“不佳”。","为什么？","因为九一一是美国电话的紧急求救的电话。","而且九一一是美国纽约世界贸易中心，二栋双子星大楼，被恐怖分子炸毁的大日子。","儿子媳妇说：","“不用九一一，要用九一八。”","我说的不算。","然而，到了九一一的清晨，媳妇卢珊珊的肚子阵痛加剧，送到医院。","马上就生产了。","我的孙女诞生了，“卢君”出世了，她的生日，就是九一一。","所以，我能断生。","","●","","以前，我断人死亡日期，是百灵百验的。","有一天。","来了一个老妇人，请我屈指神算她的死亡日期，我说我不算，但，老妇人硬要我算，她说：","“我不怕死，绝对不怕，你就算吧！让我有个准备。”","我算了！","是一年后的三月二十七日。","老妇人回家后泪涟涟，家人问她何事，她告诉众人，卢师尊预告死期。","此时，她的儿子、女儿、亲朋、好友，全找上我理论，有的要打，有的要告，我不堪其扰。老妇人的家人，甚至要发动报复。","她家人，轮翻上阵，我实在受不了了。","终于有一天，平静了。","因为老妇人，果然在一年后的三月二十七日死亡。","从那次以后：","我不敢再断人死期。","","●","","又有一位刘堂发师兄，其妻蓝氏，妻子得了癌症，已至末期。","有一天，特别请我吃饭。","刘师兄问：","“妻能好否？”","我答：","“不能好，因有因果在。”","刘师兄问：","“妻与我，均是开明之士，愿问死期，请师示之。”","我答：","“死原有三不知。一、不知怎么死？二、不知死日？三、不知死后何处去？我虽知之，但，实在不想断人死日，因有了经验，我还是不说好。”","刘师兄说：","“不妨，我与师姐，均知因果，只愿生生世世跟师尊修行。”他与她均非常恳切。","我屈指一算：","“三月内。”","刘师兄及蓝师姐，没有恐惧，反而更精进的持咒念佛。","蓝师姐住“安宁病房”，二个月多，刘师兄问：“为何仍然没有？”","我","我答：“绝命方插香，即逝。”","于是“绝命方”插香。","就在二月底，差几天，三月内，亡身。","刘堂发叹曰：“卢师尊，果然神准！”"
"012 我发愿：绝不告人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c012","这一生，有三个地方，未曾进去过：","一、警察局。","二、法院。","三、监狱。","我曾经向大众发下了大誓愿，我这一辈子，绝对不会去告人（诉讼）。","为什么？","因为我是修行人，发四无量菩提心：","慈—给人快乐。","悲—拔除人的痛苦。","喜—欢喜无尽的去做。","舍—平等舍与。","我曾遭逢很大的毁谤，毁谤的文章中，只靠想像，毫无根据，内容也是捏造，根本不是事实，但，我看后，竟然若无其事。","原因是：","这样的毁谤太多了。","如果我是“白文政”，我也应该跳“澎湖大桥”了，甚至跳楼、上吊、农药、烧炭......。","我曾说过，如果我不是佛，自杀一百遍都不够，能够存活下来，是因为，我已证：","“无生法忍”。","","●","","有一回，又有大毁谤。","一位上师对我说：","“你看！你看！就因为你在法座上，宣称从不告人。现在人家谩骂你，一点顾忌也没有，你会被骂得体无完肤。”","我：","“哈！哈！哈！”大笑。","我说：","“这就是世俗人间的现象。”","我能稳坐紫金莲。","八风吹不动。","这也是“如来的大神通”了。","","●","","人们知道吗？","我这位怙主上师莲生活佛，修的是：“自他互换法”。我们是：","“知母”—众生父母。","“念恩”—念父母恩。","“报恩”—报众生恩。","“增上意乐”—上升的功德。","“菩提心”—行菩提、愿菩提、胜义菩提。","“自他互换法”—处处时时为他人想。","这是文殊菩萨传寂天菩萨，传金洲大师，传阿底峡尊者，传莲生活佛卢胜彦。","我每逢一事：","就用“自他互换法”，如果我告人，他人会怎么样？他人会痛苦不堪，我只能给众生快乐，怎能给众生痛苦？","故：不可告人也。","再说“自他互换法”是不为自己想，只为利益有情众生想，这样一来，我不负众生，终究修证“佛果”之因也。","","这是：","执爱自己一切衰败门。","执爱他人一切功德基。","我","是故自他互换之瑜伽。","能作修行精要之基石。","又：","诸佛所动作。"
"013 给与梦示","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c013","名少女，因为感情因素，跳楼自尽，死了。","其父母伤心欲绝，由于是独生女，而且是掌上明珠，父母实在痛心。","事过三年。","她的父母感到奇怪的是，三年中，连梦也没梦一个，父母想念女儿。","女儿却从未报梦。","按一般人的习俗，日有所思，夜有所梦，但，父母想念了三年，女儿却未曾在梦中出现。","她父母听人介绍，来找我。","说：","“如果卢师尊，能令我两人梦见女儿，我两人愿意皈依卢师尊，勤修真佛密法。”","我说：","“给与梦示！”","就在我说“给与梦示”的当天晚上，她父母同时梦见女儿。","她素质高雅，穿着父母买给她的蝴蝶结长裙，如生前一般美丽。","在梦中，女儿对父母说：","“你们找对人了！”","“为什么？”父母问。","“卢师尊是佛啊！是华光自在佛啊！他有佛的神通力，你们修法，我就能出苦轮，我就等着你们的修法呢！”","父母听了，与女儿相拥大哭，哭到醒了过来。","其父母大骇。才一说“给与梦示”，就梦见了。","尤其父母两人醒来，梦中情景竟然完全一样，连蝴蝶结的长裙都一样。","两人飞奔至雷藏寺，当下祈求：","“皈依及受戒”。","","其二：","一位妇人来告诉我：","“有一颗八克拉的Ｄ级裸钻，遗失了，翻箱倒柜均找不到，地毡式的搜寻，各个屋角均找遍了，完全没有踪迹.........。”","我说：","“给与梦示！”","妇人说：","“卢师尊屈指神算便知在何处，何必给与梦示呢？”","我答：","“不然，梦示中亦有境界，境界中自有梦示。”","妇人回去，做了一个梦：","“梦见一位修水管的工人，此工人头壳秃得非常光亮，只剩两旁毛，在厨房水管转弯处，取出了八克拉的钻石。”","这一切的梦境一清二楚。","妇人猛然想起，她曾清洁饰物，可能因此流入水管。","打电话请水电工。","水电工一到，妇人大骇，正是那位秃头工人，又，果然在水管转弯处，取出光灿灿八克拉的大钻石。","梦示准！","梦示神！","令人赞叹不已！","","其三：","一同门莲花丽美问：","“与卢师尊的师徒缘分厚否？”","我答：","“给与梦示！”","梦中，卢师尊现庄严殊胜之身，云端现身，牵莲花丽美的手，飞向摩诃双莲池。善哉！缘分厚也。","","","一","","","",""
"014 空中出现“六足”印","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c014","二ＯＯ","只要大家略略注意一下，这一年，是否有“天候异常”的现象，便知“莲生活佛卢胜彦”，究竟是何方神圣？或是何方魔怪？","初次在“台湾雷藏寺”讲《六祖坛经》。","雷藏寺的上空出现“六足”脚印，六个足迹排成一排，由大至小。","“六祖”与“六足”。","哈哈！大相应了！","一一年五月，刚好是整整一年的光阴。","●","","我办“孔雀明王”法会。","那天，天气燠热难当，在大太阳的寺前广场，人人都受不了。","我呼唤孔雀明王说：","“伸开的双翼，来遮住暴热的太阳吧！让听法的人，得到清凉。”","说时迟。","那时快。","空中有云飞至，如鸟之翼，刚好遮在雷藏寺广场的上方。","其他地方晴空万里，艳阳高照。唯有雷藏寺广场有华盖遮住，凉风习习。","有人从山下往山上看。","独独雷藏寺的上方，有华盖。","那人说：","“天哪！这么大的神迹！”","","●","","有一个台风来了！","气象台预报：","“从花东登陆，从大甲溪出去，大雨在北方，宜兰、北部大雨特报。”","我修法。","中央山脉的上空，筑成一道金光闪闪的长墙（气象报告），结果是：","台风从花东登陆，被“光墙”挡住，转了一个弯，向南走，台风从“曾文溪”出去了。","这“光墙”是异象。","太神奇了！","卢师尊勅令“台风转向”。","","●","","我到澎湖去。","澎湖的太阳，出现异常，太阳四周有很大的圆形光晕。","我带“四海龙王”回台湾降雨。（澎湖观音亭的四海龙王）","回到台湾当日，“新店”出现异象，“龙卷风”出现，把一部车子卷翻了。","“龙卷风”如黑龙，从天上卷到地下，如龙翻翻滚滚。","老天！","台湾怎有“龙卷风”？","我一下机。","雨就下来了，我要水库全部满水。","","●","Ｏ","我坐计程车，开车的一位小姐说：","“今年的台湾非常特别，冬天特别的长，春雷不响，春雨未到，冬天把春天给赶跑了，冬天又长又冷，不知怎么回事？”","从","我不说话。","因为我天生怕热，我喜欢冬天的凉爽。","今年，台湾什么都迟迟。","一"
"015 突然闪过的一念","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c015","“温哥华”的一场晚宴，主办单位请了一位艺人表演，这位艺人是表演水晶球的。","水晶球如手掌那么大，透明、圆滚、沉重。","艺人玩水晶球的杂耍。","以单掌或双掌抛掷，由一、由二、由三、由四、由五、由六、由七……。","成了念珠一串，在虚空中。","艺人可正接球，转身接球，脚接球，肩膀接球。","另：","很多水晶球，可以从右手滚在手臂上，通过脖子，滚到左手臂上，在左手掌停下。","由头顶，跳到肩膀，由肩膀跳到胸，跳到脚踝，简直是神乎其技。","……。","同门看得目瞪口呆。","此时，我突然闪过一念，这是开玩笑的念头，让表演秀的水晶球，颗颗落地。","我只是一念！","说时迟。","那时快。","“碰！”“碰！”“碰！”，一颗颗水晶球，全滚出控制，落到地面上。","“啊！”所有的人一片惊呼。","艺人重新来过。","又“碰！”“碰！”“碰！”一颗颗水晶球在地上乱滚。","再试，亦然。","艺人汗流浃背，看着我说：","“卢师尊法力太大了，我失去了控制力，这是我演艺生涯中，第一次碰到这种事。”","艺人走下台，跪下，请我加持。","艺人重新走上台。","这回表演，神乎其技，连一个水晶球，皆未落下来，精彩极了。","","●","","我到印尼去，偶去同门家，同门是去过印度，见过“赛巴巴”的。","家中有一张“赛巴巴”的长方形大照片，“赛巴巴”留着爆炸头。","同门说：","“奇怪的事情发生了，『赛巴巴』的五官会从照片流出一点一点或长串的蜂蜜。”","我突然生起一念，这是显异惑众，照片就是照片，怎可流蜂蜜？","此念一生。","这张供奉的“赛巴巴”照片，从我去过之后，就不再流蜂蜜了。","去同门家，挂有“赛巴巴”照片的，只要我走过，蜂蜜从此不再流。","屡试屡验。","","●","","有一回，我在台湾讲《六祖坛经》，我拿起讲座的一张纸，叫它站立，它就站立了，我叫它躺下，它就躺下了。","突然来了一念，纸何不叫它自己站起来！","我这念头一出。","“咻！”","突然讲台就站立了一张纸，直直的站立着，不偏左，不偏右，在讲台上颤抖。","站立很久，也不倒下，有点像“大卫”魔术玩他的“领带”，或软或硬。","我与一万同门，很惊讶，这张纸怎突然竖立？","我说：","“够了！躺下吧！”","纸就缓缓躺下，再也爬不起来了！","在","","","",""
"016 佛语无虚言","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c016","四十年前，我读过一篇文章，文章的名字是：“西北雨惹的祸”。","“西北雨惹的祸”内容如下：","四十年前，小镇的一家银行（合作社）。","有一天。","突然下了一阵“西北雨”，小镇只有“信用合作社”有骑楼可以避雨。","一时之间，“信用合作社”的骑楼走廊及合作社门前，挤满了人。","一位戴斗笠的村人，骑脚踏车经过“合作社”的门口，好奇的问：","“你们挤在门口做什么？”","内中有一人开玩笑的说：","“合作社倒了，我们来领钱的。”","这骑脚踏车的人，匆匆而过，信以为真，通报了全村的人，及其他村庄的人。一传十，十传百，百传千，一时人潮汹涌，全部涌到“合作社”。","“挤兑”。","小镇的“合作社”只一个下午。","便倒闭关门。","这篇文章，便是“西北雨惹的祸”的内情大要，一阵西北雨，一人说笑，一人信以为真，便使一家银行倒闭了。","“谣言”果然可怕！","","●","","自从我“开悟见性”，开玩笑的话不太敢说，因为我的话，往往会变成“法旨”。","如来无虚言。","佛祖无虚言。","我立一座雷藏寺，寺成“立匾”、“开光”，就“雷”声隆隆。","一逢大毁谤，不超过十天，必然有世界性的“大灾祸”发生。（屡试屡验）","我帮一个女生，取名“怡均”。","结果：","“怡均”、“怡君”、“宜欣”……。","泛滥成灾，成了菜市场的名字。","最糟的是：","我唱了“阳光与小雨”。","全真佛宗的弟子，人人都在唱：","“阳光与小雨”。","科学家说：","“世界会愈来愈热。”","我说：","“让天气冷吧！”","结果，不下雪的地方也下雪了，全美国只佛罗里达州未下雪，连南太平洋夏威夷也下雪，而且全世界均“暴风雪”连连。","","我说：","“这个打棒球的完了！”","结果：","“真的差不多完了！”呜呼哀哉！尚飨。","我说：","“这个人会当总统。”","结果：","“当总统了。”","在南部与一位大企业家见面，大企业家问我：","“家族大企业未来如何？”","我答：","“拱手让人！”","约","结果：","“拱手让人。”","另一位大企业家问：","“未来如何？”"
"017 在卢胜彦的头上小便","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c017","有一次，欲赴某某雷藏寺开光安座，某某雷藏寺是积众同门的资金建立的。","出发前二天。","我打篮球，在篮球场奔跑捡球时，却因为水泥地及土壤的落差。","左脚踩在落差的中间，也就是前指端在土壤，后脚跟在水泥地。","如此，扭伤了左脚，“伤筋动骨”一百天，成了跛了一足的卢师尊。","（这是第一次的预感。）","我跛了一足，但，仍然赶赴某某雷藏寺开光安座，不影响自己预定的行程。","开光。","安座。","说法。","当我登上“法王宝座”的时候，这宝座的双手靠，是雕刻着“龙头”的，是龙椅宝座，而龙的须是用铜丝线象征龙须。","我坐下时，双手放手靠，一不小心，铜丝勾了我的手臂一下，我感觉到刺痛，马上把手举了起来，一看，早已划破了一点皮肉，手臂红红的，渗出了几滴血。","哇！出佛身血。","我忍住痛，也不声张，继续说法开示，然而我似乎有些预感。","（这是第二次预感。）","我这是脚伤及手伤，到了某某雷藏寺。","","●","","过后不久。","我入于禅定，看见某某雷藏寺的住持XX上师，竟然站立在我的头上。","他解开裤子的钮扣，竟然淋了我一头的尿水，真的在卢胜彦的头上小便。","我出定后，深觉这是不好的预兆。","（这是第三次的预感。）","我这个人，生性老实，很容易相信人，但，也就很容易被人出卖。","我拚命相信人。","也常常被人出卖。","（在我的理念之中，全部的人都是好人、善人。只因为在人间，人难免执爱自己胜过他人，由于执爱自己，便有了贪、瞋、痴。而我们修行人，要执爱他人胜过自己，这就是发菩提心｜愿菩提心、行菩提心、世俗菩提心、胜义菩提心。我虽常常被人出卖，但，我不怨叹，但愿他们体会我的心，把太爱自己，转成爱众生。）","这：","某某雷藏寺。","XX上师。","呼之欲出矣！","","●","","这几天。","我入禅定之中。","我看见另一位XX上师，爬啊爬的，爬到我的头顶之上，站立，用手撩起他的红色喇嘛裙，也一样在我的头顶之上，撒了一泡尿。","哇!佛头着尿。","唉!又来一位了。","(我的预感又出现了。)","我盼望真佛宗的圣弟子，要守“密教根本十四堕”、“事师法五十颂”……。","好好的看清戒律，守戒律，免得犯了戒、破了戒，堕入三涂恶道，求出无期。","圣弟子，慎之！慎之！","","","","","","","我","","","",""
"018 被烫死的小孩","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c018","对年轻夫妇哭丧着脸，找到我哭诉：","“我俩最可爱的嘉嘉，死了啊！”","我问：","“怎么回事？”","俩人答：","“烫死的。”","我大骇。","事情原来是这样的：","这对年轻夫妇，未结婚之前，本来就是我的虔诚弟子，二位年轻人在分堂同修，彼此爱慕，我办大法会，他们是义工。","受菩萨戒，发菩提心，印善书、塑佛像、建寺院、斋僧、善行、华光功德会、卢胜彦基金会、日修二坛法、持上师心咒八百万遍、护摩供养，见根本上师、上师均做大礼拜、大供养，追佛族……。","后来结婚了。","受福证。","生了可爱的嘉嘉，连嘉嘉也皈依了，他俩特别抱来给我加持。","嘉嘉才三岁，就死了！","我问：","“怎么会烫死？”","俩人答：","“我俩在客厅看电视，嘉嘉一个人在卧房，后来也不知怎么的，他溜进了浴室，爬进浴缸里，打开滚烫的热水，就这样，没命了！”","“怎么可能？”我有疑问：“是烫死？还是淹死？”","“就是这样。”俩人落泪。","我自己眼眶也红了。","","●","","俩人问我：","“卢师尊，佛为什么没有保佑？”","我静默无语。","俩人问我：","“卢师尊，你为什么没有奇迹？我们一直持你的心咒无休无止。”","我静默无语。","俩人问我：","“卢师尊，是不是真的老天无眼？给我们大考验？我们给亲朋好友邻居笑死了，信卢师尊，竟然是如此下场。我们心冷了，快崩溃了，我们还修法吗？”","我静默无语。","俩人大喊：","“谁能还给我一个嘉嘉？”","","●","","这对虔敬的夫妇，安静的离开真佛宗二年多。","有一天。","他俩人又出现了。","他俩手上抱着一个小孩，很恭敬的向根本上师卢师尊顶礼。俩人说：","“卢师尊，我们向你忏悔，我们又回来了！”","我问：","“为什么？”","俩人说：","“嘉嘉真的回来了，我们又生了一个小孩，长相与嘉嘉一模一样。不仅如此，屁股有一样的胎记。不仅如此，右手尾指略屈。不仅如此，婴儿学语第一句的发音，竟然是烫……烫……烫。”","又：","“最奇的是，生嘉嘉之时，俩人梦，卢师尊在虚空中，抱嘉嘉，说，再还你一个嘉嘉吧！”","我听了，点点头，说：","一","“好好修法吧！”","","",""
"019 法王的旧内衣","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c019","名女弟子“林林”，有机缘参加某国最高层次的国宴，她为了这次的国宴，颇费周章，想穿一袭引人注目的新装。","因为此次国宴，来参加者是：","国家领导人。","总理。","副总理。","……。","“林林”每天试装，均觉得不是很满意，她为此苦恼不已。","有一夜的梦中。","莲生活佛卢胜彦出现，对她说：","“我穿过的旧内衣，是无上珍宝。放射着稀有的光芒，此光芒能吸引众人的目光，同时，可以息灾难、除病业、增福、增慧、敬爱大圆满、一切怨敌退散、心想事成。”","林林说：","“穿在外面吗？”","我答：","“穿在里面。”","把男生的旧内衣穿在外面，固然是创举，但，也会不体面，贻笑大方，尤其是国家级的国宴。","","●","","“林林”来找我：","“请卢师尊给我一件旧内衣吧！”她说明原委。","“旧内衣？”","“是的。梦中指示清晰。”","我哈哈大笑：","“原来我穿过的旧内衣，还有这么好的益处。”","我把破了一个小洞的，破在腋下，准备扔到垃圾筒的内衣就交给了“林林”。","她穿着去参加国宴。","说也奇怪。","“林林”竟然成为国宴的焦点，成了国宴的奇葩，她大方翩翩，语出不凡，又是才女，又是美女。","总理认她为：","“女儿”","“林林飞上枝头当凤凰了！”","消息传得很远、很快。","","●","","十六年后。","“林林”回到台湾雷藏寺找我，怪的是，所有的人都说她不但不老，而且变年轻了，不但年轻，变得美得不得了。","黑色长发。","大而圆的眸子。","鼻子挺了。","嘴更俏。","下巴由尖变鹅蛋。","皮肤细白。","众人大惊，我亦大骇，十六年不见，竟然比十六年前更美，实在不可思议！","有人悄悄说：“整型。”","有人说：“去韩国。”","有人说：“去泰国。”","有人说：“玻尿酸、肉毒杆菌、微波拉皮、雷射、用屁股皮去补脸。”","我给“林林”摸顶加持。","她告诉我：","一","“没有。我只是穿着你的旧内衣，持你的心咒而已。”","她的美，令人啧啧称奇。","佛法是美容师？","信哉！"
"020 要如何修心？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c020","弟子问：","“卢师尊常常教导，修行就是修心，请问心要如何修才是？”","我答：","我以“修心七义”的第七节，修心学处回答汝等：","一、修学唯以“利他”之心，连饮食等一切瑜伽。","二、修学以遮遣一切魔障，发“自他互换”之心。","三、修学一切善行，皆先“发菩提心”，后以“回向”作印定。","四、修学令所有“苦乐”，皆成为修心之至友。","五、修学将一切誓言，尤其“修心誓言”如同生命般的护持。","六、修学于烦恼刚生之时，便即作“对治”，完全断绝其相续。","七、修学修法之主因，“依止上师法”，令自心成为堪能，成办修法所必须的一切顺缘。","八、修学“不退转”恭敬上师之信心，“不退转”修心之意乐，“不退失”对三律仪之护持。","九、修学三门“不离善行”。","十、修学对一切“无偏执”而修心。","十一、修学凡“所有显现”，皆用于修心。","十二、修学对特别专缘于己敌对等，而修“包容心”与“慈悲心”。","十三、修学不观待“顺、逆”二缘而恒长观察修心。","十四、修学总摄“心要”而修其“主要”。","十五、修学断除无能修善，却于此生俗事刻苦努力等六种颠倒。","十六、修学“长时”修行，不稍间断。","十七、修学不迟疑、犹疑而“专心”学习。","十八、修学反覆伺察而“舍离烦恼”。","十九、修学不于人前“矜夸”功德。","二十、修学“不言微小恶语”，“不暴躁”易怒。","二十一、修学令心“不生施恩图报”，及“贪图美誉”之名。","二十二、修学不作微小变化便作“宣扬”，莫对刚趣入便舍弃，应“长期保持”。","以上二十二条，是修心口诀。","","我个人对修心，有心要口诀，“修心七义”是提供仁人志士参考的。","我说：","不违背戒律、誓言。","不流于狂傲。","不堕于偏私。","不自私自利。","不揭人短处。","不分别自他。","不令烦恼增长。","不求利养。","不求名望。","不行恶、只行善。","不仇视恶人。","不还嘴。","不作报复。","不作伤害他人身心之事。","不告人。","不将过失推给他人。","不拥有财利，一切自然。","不侵犯他人，要救他人。","不令他人痛苦。","不令他人烦恼。","圣","不利己，只利他。","……。","我这修心口诀，常常反覆思索，精进而不退缩，这个誓愿没有止尽而不退却，这正是我的菩提心，有了菩提心，就是菩萨。接着便是圆满觉悟的佛果了。如此，必具有如来的神通力。",""
"021 山顶上的老法师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c021","中太平“耳鼻喉科”的老医师杨移圳，于二Ｏ一一年五月二十五日在“客家本色”餐馆，宴请我。","他说：","“当年，有一件事，非常的轰动，你还记得吗？”","“哪一件事？”","他说：","“你以法力，治愈一位精神病患的故事。”","我“哦”的一声，想起来了。","杨移圳医师说：","那一年，一对经商的夫妇，妇人突然得了精神病，访遍全省的名医，均无法治愈。","先生急如热锅的蚂蚁，又找遍了全省的奇人异士，想不到，愈治愈凶。","这对夫妇有结拜的兄弟多人，个个都是彪形大汉，但妇人一发作。","长发竖起，力大无穷，就算十个大汉都抓不住，众人东倒西歪，束手无策。","有人介绍：南投山上，有一座寺院，山顶上住着一位有大法力的老法师，可以去找老法师治。","他们一群人赶上山去，想不到的事，小沙弥一开山门，问明来意，进去禀报，老法师只回了二个字，这个“不见”。","小沙弥把山门关了。","只说：“不见！”","先生急了，心想，可能自己诚意不足，马上下山，找一家理发店，把头发理光。一个人跪在山门，哀求老法师救救自己的妻子。","老法师终于开门了，对他说：","“这个我救不得，只有台中有一个人可以救她，他姓卢，你去吧！”","","●","","杨移圳医师说：","他们夫妻及众人，来到卢师尊的住处。","妻子（精神病患）不敢进入。","结果卢师尊出来，才把他们带了进去，此时妇人变得很乖。","卢师尊说：","“客人走中路，青红请留步！我把那青红鬼挡在门外了。”","卢师尊画了三道符，给妇人服下，此符是“尚掩”符，是定“三魂七魄”的。","又问家中多少门窗，各安上一符，是“结界”用的，只要贴七天。","七天后，青红鬼不能入，自去了。病就好了！","他们问：","“就这么简单？”","我答：","“是。”","他们问：","“妇人会好否？”","我答：","“好。”","结果，七天后，妇人自己醒来，完完全全正常了。与得精神病时，判若两人。从此，一点“恍神”都没有，夫妻共同经商，高兴得不得了。","杨移圳医师说：","“这件事轰动媒体界、教育界、法务界、医学界，因为夫妇交游广阔之故！”","从那时起，全省各地治疗不好的精神病患全蜂拥而至，由“尚掩符”治愈的精神病患实在可以用火车载。","当时，连手扣住、脚镣锁住的病患也来了。","精神科的医师说：","“治不好的，找卢师尊去！”","","","","","台","","","",""
